section,tz_no,name,qty,unit,required_ttx,do_not_offer,note
Оборудование,1,TRASSIR TR-C241B или аналог,1,шт,"2 двери; до 4 считывателей; ≥10000 карт; ≥50000 событий; Wiegand; TCP/IP; 2 реле; металл. корпус; −20…+65 °C; 12 В",,Подтвердить поставку в 25 р.д.
Оборудование,2,Модуль ПО TRASSIR СКУД,1,шт,Совместимость с контроллером и MiniNVR; поставка в составе регистратора,Не двоить с лицензиями камер NVR,Если отдельный артикул — одна строка
Оборудование,3,Hikvision DS-K1107AM (аналог F-KD-4407PM i-FLOW),2,шт,"Mifare 13.56 МГц; OSDP+RS-485+Wiegand W26/W34; IP65; ≤2 Вт",TR-R5M; не 4 шт,i-FLOW только если срок ≤25 р.д.
Оборудование,4,"Турникет Hikvision DS-K3G411LX-R/Pg-Dm55 или DS-K3G411LX-R/Dm55 или DS-K3G501LX-R/Dm55",1,шт,"Проход ≥550 мм; ≥35 чел/мин; ≥3 млн; антипаника; нерж. сталь; −20…+65 °C; без встроенного контроллера и считывателя; вход ПС",TR-TT552; TR-TP551; модификации со встроенным контроллером,Один турникет в сумме КП
Оборудование,5,Поручень Praktika ВЗР 1996.05-02 или аналог,1,шт,"Две трубы; нерж. сталь; D≥32 мм; L≥940 мм",,Стыковка с выбранным турникетом
Оборудование,6,Стойка Praktika ВЗР 1996.01 или аналог,2,шт,"D≥50 мм; H≥1000 мм; 2 муфты",,Стыковка с поручнем
Оборудование,7,Пульт ST-AC103RC или аналог,1,шт,"≥3 кнопки; НЗ/НР/ОБЩ",,
Оборудование,8,БП PS-1230 (плата) Проксима или аналог,1,шт,"187–242 В; 13.5–14.2 В; 2.8 А; плата без корпуса; под АКБ 12В 7Ач",ББП в корпусе без эквивалента,
Оборудование,9,АКБ Delta DTM 1207 или аналог,1,шт,"12 В / 7 Ач; AGM; F2; срок ≥6 лет",,
Оборудование,10,TRASSIR MiniNVR 4216R AnyIP или аналог,1,шт,"16 кан.; 2×SATA ≥18 ТБ; ≥2 выхода HDMI/VGA; ≤400×350×60 мм; 19""; лицензии 16 кан.; t° ТЗ −10…+55 °C",NVR без лицензий каналов,Каталог MiniNVR +10…+30 — отклонение или аналог
Оборудование,11,Камера TR-D8151IR3 v7 (D) 2.8 или аналог,7,шт,"5 Мп; 2.8 мм; ИК≥30 м; IP66; PoE; аналитика; поставка в 25 р.д.",Приход «конец сентября» без склада,
Оборудование,12,Монтажная коробка TR-JB306 или аналог,7,шт,Совместима с камерами п.11,,
Оборудование,13,Коммутатор TR-NS11191S-285-16PoE или аналог,1,шт,"≥16 PoE; бюджет ≥270 Вт; CCTV≥250 м; Watchdog; ≤450×200×50 мм",8-портовый; TL-SG2218P вдобавок,
